INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Novo Gama - GO,5215231,GO,113679,"0,614913133",B,"0,940719938",B,"0,184751805",A,B,2019
Prefeitura Municipal de Novo Hamburgo - RS,4313409,RS,246452,"1,039641384",B,"0,948739183",B,"2,827865161",C,C,2019
Prefeitura Municipal de Novo Horizonte - BA,2923035,BA,12241,"0,300276427",A,"0,970263488",C,"1,03228165",C,C,2019
Prefeitura Municipal de Novo Horizonte - SC,4211652,SC,2481,"0,041454101",A,"0,81777249",A,"2,99E-05",A,A,2019
Prefeitura Municipal de Novo Horizonte - SP,3533502,SP,40680,"0,154172931",A,"0,950306905",C,"0,191133937",A,C,2019
Prefeitura Municipal de Novo Horizonte do Norte - MT,5106273,MT,3985,"0,033379935",A,"0,942375783",B,"2,331135379",C,C,2019
Prefeitura Municipal de Novo Horizonte do Oeste - RO,1100502,RO,8751,"0,416422083",A,"5,673012926",C,"0,776629916",A,C,2019
Prefeitura Municipal de Novo Horizonte do Sul - MS,5006259,MS,3947,"0,029155918",A,"0,950621164",C,"0,29549106",A,C,2019
Prefeitura Municipal de Novo Itacolomi - PR,4117297,PR,2848,"0,084476774",A,"0,949928507",B,"0,012411982",A,B,2019
Prefeitura Municipal de Novo Jardim - TO,1715259,TO,2698,"0,026169208",A,"0,916571532",B,"0,037523628",A,B,2019
Prefeitura Municipal de Novo Lino - AL,2705606,AL,,,n.d.,"1,039832753",C,,n.d.,n.d.,2019
Prefeitura Municipal de Novo Machado - RS,4313425,RS,3394,"0,027592408",A,"0,831393901",A,"0,079566162",A,A,2019
Prefeitura Municipal de Novo Mundo - MT,5106265,MT,8990,,n.d.,"0,934586089",B,"-0,565926426",C,n.d.,2019
Prefeitura Municipal de Novo Oriente - CE,2309409,CE,28557,"0,514279984",A,"0,948427586",B,"0,105745225",A,B,2019
Prefeitura Municipal de Novo Oriente de Minas - MG,3145356,MG,10731,"0,017215224",A,"0,995509273",C,,n.d.,n.d.,2019
Prefeitura Municipal de Novo Oriente do Piauí - PI,2206902,PI,6575,,n.d.,"1,054156858",C,0,n.d.,n.d.,2019
